SUM of TEUs,,Type,,,,
Month of Date,Port,Export_Empty,Export_Loaded,Import_Empty,Import_Loaded,Total_TEU
,Port of NY & NJ,"247,964.00","112,987.00","1,678.00","386,771.00","749,400.00"
,"Port of Virginia, VA","61,369.00","78,853.00","2,387.00","138,737.00","281,346.00"
,"Savannah, GA","109,146.00","114,266.00","3,562.00","219,840.00","446,814.00"
June 2021 Total,,"1,183,583.00","800,891.75","66,944.35","2,044,292.25","4,095,711.35"
July 2021,"Charleston, SC","54,188.00","65,655.00","5,534.00","119,445.00","244,822.00"
,"Houston, TX","75,964.00","75,457.00","9,003.00","137,197.00","297,621.00"
,"Long Beach, CA","276,363.00","109,951.00","15,592.00","382,940.00","784,846.00"
,"Los Angeles, CA","329,878.75","91,439.50",120.70,"469,360.85","890,799.80"
,"NWSA (Seattle & Tacoma, WA)","65,369.00","48,893.00","5,128.00","127,166.00","246,556.00"
,"Oakland, CA","34,594.00","68,153.00","13,904.00","94,745.00","211,396.00"
,Port of NY & NJ,"250,952.00","111,159.00","2,754.00","393,945.00","758,810.00"
,"Port of Virginia, VA","66,842.00","81,068.00","2,254.00","142,963.00","293,127.00"
,"Savannah, GA","99,370.00","119,072.00","3,597.00","227,876.00","449,915.00"
July 2021 Total,,"1,253,520.75","770,847.50","57,886.70","2,095,637.85","4,177,892.80"
August 2021,"Charleston, SC","51,084.00","65,207.00","3,727.00","114,671.00","234,689.00"
,"Houston, TX","65,983.00","85,660.00","8,652.00","159,791.00","320,086.00"
,"Long Beach, CA","268,505.00","119,485.00","12,289.00","407,426.00","807,705.00"
,"Los Angeles, CA","364,211.50","101,292.00","3,201.70","485,672.15","954,377.35"
,"NWSA (Seattle & Tacoma, WA)","69,038.00","53,922.00","7,898.00","114,971.00","245,829.00"
,"Oakland, CA","40,670.00","71,753.00","9,779.00","97,850.00","220,052.00"
,Port of NY & NJ,"275,492.00","103,886.00","1,688.00","399,716.00","780,782.00"
,"Port of Virginia, VA","75,925.00","85,256.00","1,616.00","144,226.00","307,023.00"
,"Savannah, GA","126,362.00","114,070.00","3,450.00","241,713.00","485,595.00"
August 2021 Total,,"1,337,270.50","800,531.00","52,300.70","2,166,036.15","4,356,138.35"
September 2021,"Charleston, SC","42,152.00","61,705.00","2,943.00","98,208.00","205,008.00"
,"Houston, TX","66,234.00","69,765.00","10,114.00","135,387.00","281,500.00"
,"Long Beach, CA","253,964.00","110,787.00","13,492.00","370,230.00","748,473.00"
,"Los Angeles, CA","358,581.00","75,713.50","1,510.95","468,059.15","903,864.60"
,"NWSA (Seattle & Tacoma, WA)","66,547.00","58,636.00","16,522.00","125,917.00","267,622.00"
,"Oakland, CA","27,234.00","62,203.00","11,709.00","81,789.00","182,935.00"
,Port of NY & NJ,"243,367.00","99,893.00","1,968.00","379,190.00","724,418.00"
,"Port of Virginia, VA","70,928.00","80,697.00","2,395.00","152,197.00","306,217.00"
,"Savannah, GA","127,131.00","108,900.00","2,756.00","233,275.00","472,062.00"
September 2021 Total,,"1,256,138.00","728,299.50","63,409.95","2,044,252.15","4,092,099.60"
October 2021,"Charleston, SC","53,612.00","67,595.00","5,943.00","107,773.00","234,923.00"
,"Houston, TX","69,633.00","94,933.00","12,525.00","151,395.00","328,486.00"
,"Long Beach, CA","270,373.00","122,214.00","12,129.00","385,000.00","789,716.00"
,"Los Angeles, CA","335,679.05","98,251.25","1,426.95","467,286.65","902,643.90"
,"NWSA (Seattle & Tacoma, WA)","66,734.00","58,102.00","5,000.00","123,328.00","253,164.00"
,"Oakland, CA","26,412.00","63,338.00","9,122.00","74,438.00","173,310.00"
,Port of NY & NJ,"275,389.00","120,250.00","2,530.00","398,535.00","796,704.00"
,"Port of Virginia, VA","79,085.00","88,710.00","2,475.00","148,212.00","318,482.00"
,"Savannah, GA","129,724.00","112,907.00","2,402.00","259,314.00","504,347.00"
October 2021 Total,,"1,306,641.05","826,300.25","53,552.95","2,115,281.65","4,301,775.90"
November 2021,"Charleston, SC","48,819.00","67,639.00","7,172.00","127,081.00","250,711.00"
,"Houston, TX","58,655.00","94,409.00","9,004.00","152,508.00","314,576.00"
,"Long Beach, CA","262,184.00","109,821.00","11,090.00","362,394.00","745,489.00"
,"Los Angeles, CA","323,409.25","82,741.35","1,865.40","403,443.90","811,459.90"
,"NWSA (Seattle & Tacoma, WA)","70,693.00","59,341.00","7,935.00","125,892.00","263,861.00"
,"Oakland, CA","21,911.00","72,155.00","11,948.00","83,097.00","189,111.00"
,Port of NY & NJ,"257,190.00","118,155.00","1,971.00","382,074.00","759,390.00"
,"Port of Virginia, VA","60,746.00","84,002.00","4,395.00","141,617.00","290,760.00"
,"Savannah, GA","152,883.00","102,508.00","3,367.00","236,991.00","495,749.00"
November 2021 Total,,"1,256,490.25","790,771.35","58,747.40","2,015,097.90","4,121,106.90"
December 2021,"Charleston, SC","64,055.00","57,136.00","6,298.00","118,710.00","246,199.00"
,"Houston, TX","60,792.00","90,660.00","3,451.00","148,301.00","303,204.00"
,"Long Beach, CA","269,184.00","113,918.00","12,525.00","358,687.00","754,314.00"
,"Los Angeles, CA","328,193.85","70,871.75","2,272.45","385,250.70","786,588.75"
,"NWSA (Seattle & Tacoma, WA)","58,153.00","40,703.00","4,166.00","97,285.00","200,307.00"
,"Oakland, CA","23,229.00","55,724.00","11,653.00","79,055.00","169,661.00"
,Port of NY & NJ,"269,244.00","106,136.00","3,025.00","392,348.00","770,753.00"
,"Port of Virginia, VA","74,265.00","88,667.00","5,005.00","157,590.00","325,527.00"
,"Savannah, GA","139,563.00","84,800.00","2,279.00","238,309.00","464,951.00"
December 2021 Total,,"1,286,678.85","708,615.75","50,674.45","1,975,535.70","4,021,504.75"
January 2022,"Charleston, SC","52,103.00","54,256.00","2,976.00","117,181.00","226,516.00"
,"Houston, TX","73,181.00","86,940.00","4,737.00","158,569.00","323,427.00"
,"Long Beach, CA","276,058.00","123,060.00","12,492.00","389,334.00","800,944.00"
,"Los Angeles, CA","336,935.85","100,185.25","1,266.55","427,207.70","865,595.35"
,"NWSA (Seattle & Tacoma, WA)","66,679.00","37,219.00","6,519.00","113,026.00","223,443.00"
,"Oakland, CA","35,775.00","61,704.00","11,866.00","83,860.00","193,205.00"
,Port of NY & NJ,"264,475.00","100,663.00","1,697.00","398,215.00","765,050.00"
,"Port of Virginia, VA","61,715.00","69,589.00","3,119.00","127,597.00","262,020.00"
,"Savannah, GA","132,604.00","90,886.00","2,569.00","250,654.00","476,713.00"
January 2022 Total,,"1,299,525.85","724,502.25","47,241.55","2,065,643.70","4,136,913.35"
February 2022,"Charleston, SC","54,141.00","54,755.00","1,942.00","119,582.00","230,420.00"
,"Houston, TX","56,230.00","82,079.00","7,125.00","125,965.00","271,399.00"
,"Long Beach, CA","276,673.00","117,935.00","11,617.00","390,335.00","796,560.00"
,"Los Angeles, CA","335,510.95","95,441.00","2,739.60","424,072.85","857,764.40"
,"NWSA (Seattle & Tacoma, WA)","69,202.00","45,855.00","3,988.00","125,851.00","244,896.00"
,"Oakland, CA","32,135.00","62,334.00","14,633.00","85,286.00","194,388.00"
,Port of NY & NJ,"269,253.00","103,782.00",674.00,"385,539.00","759,248.00"
,"Port of Virginia, VA","58,881.00","88,582.00","5,263.00","143,476.00","296,202.00"
,"Savannah, GA","132,268.00","103,690.00","4,057.00","220,398.00","460,413.00"
